,delivery_partner,vehicle_type,delivery_mode,distance_km,package_weight_kg,delivery_cost
3200,ecom express,truck,express,113.9,48.97,223855.2347329525
3201,ecom express,truck,standard,40.9,15.52,19694.478133197958
3202,xpressbees,van,standard,19.5,9.07,5908.066886320746
3203,blue dart,ev bike,standard,288.3,1.81,4393.176272737077
3204,ekart,scooter,express,96.0,31.75,4200.38579332705
3205,xpressbees,ev van,express,142.4,6.44,49241.57610867234
3206,ecom express,van,standard,209.1,43.13,50541.64613991231
3207,amazon logistics,bike,standard,153.4,30.64,4084.457153491843
3208,dhl,ev van,express,269.9,39.67,73767.27407912024
3209,ekart,bike,standard,273.0,35.54,3420.2774214057395
3210,ecom express,van,standard,84.1,37.66,29221.4936811866
3211,ekart,ev bike,standard,129.1,49.14,1182.5366390003005
3212,dhl,van,standard,60.9,29.76,14395.380149207233
3213,ecom express,scooter,express,279.4,15.58,32749.874889064744
3214,shadowfax,scooter,express,19.0,30.21,4313.072605957121
3215,ekart,ev bike,express,242.1,26.49,4556.00788613311
3216,delhivery,truck,standard,249.5,10.54,47549.33058732243
3217,dhl,truck,express,263.7,15.55,143169.80084952645
3218,ecom express,truck,express,195.3,32.9,228293.4771204101
3219,dhl,scooter,standard,155.2,23.61,4122.721303833985
3220,xpressbees,ev van,express,181.5,15.9,73649.66758805631
3221,ekart,scooter,express,58.2,29.21,3473.0459825915173
3222,xpressbees,ev van,standard,53.5,13.9,7807.8250979254835
3223,xpressbees,ev bike,standard,237.9,49.12,6484.283607441906
3224,shadowfax,bike,standard,164.0,38.13,3872.9323328879022
3225,xpressbees,scooter,express,279.7,7.81,26264.240596346048
3226,shadowfax,truck,standard,81.0,17.34,10982.251959574369
3227,dhl,bike,express,85.5,13.27,9613.416568396115
3228,xpressbees,ev van,standard,153.6,12.87,17236.99485915279
3229,amazon logistics,van,express,24.6,12.02,12609.57675530586
3230,amazon logistics,ev van,express,223.0,5.04,33391.85041375388
3231,blue dart,bike,standard,50.9,16.41,2705.7181835498777
3232,xpressbees,bike,express,169.1,2.91,22984.04222967611
3233,delhivery,truck,express,30.5,38.22,73248.60086500106
3234,shadowfax,ev bike,express,123.3,9.4,3695.9463371083425
3235,shadowfax,ev van,express,168.0,5.33,24856.588820871162
3236,dhl,ev bike,standard,159.5,37.79,3226.502110998619
3237,ecom express,ev bike,express,292.6,37.67,24991.171951141234
3238,amazon logistics,bike,standard,201.4,21.1,3928.2713551548613
3239,delhivery,truck,express,160.4,43.67,165690.87552544108
3240,blue dart,ev bike,standard,196.4,20.78,3513.0245889020484
3241,blue dart,van,standard,222.1,25.6,35626.58280548872
3242,ecom express,ev van,standard,286.5,39.63,40242.022406024866
3243,fedex,ev van,standard,45.0,6.78,3030.9051673075965
3244,xpressbees,ev van,standard,214.5,2.73,19624.214877959253
3245,amazon logistics,ev van,standard,4.8,31.03,4002.9796775559344
3246,xpressbees,truck,express,3.6,18.11,42989.63723556264
3247,delhivery,ev bike,standard,214.4,11.91,3154.8610928923863
3248,blue dart,bike,standard,166.7,40.87,8490.595914900761
3249,dhl,scooter,standard,240.1,29.85,5652.210194660182
3250,dhl,truck,express,113.9,44.49,110197.01050677721
3251,xpressbees,bike,express,46.6,22.49,14246.652603335557
3252,blue dart,ev bike,express,193.4,29.38,13335.469889108203
3253,dhl,scooter,express,156.7,43.26,17514.965917276062
3254,ekart,van,express,90.2,21.76,18650.161737167287
3255,blue dart,scooter,express,140.2,36.86,21027.67319509387
3256,blue dart,truck,express,165.0,12.26,133023.56229395125
3257,blue dart,bike,standard,62.6,0.96,1943.392061535085
3258,shadowfax,ev bike,express,220.4,31.16,8349.157047296821
3259,dhl,ev van,standard,182.6,15.98,13025.738292388283
3260,dhl,ev bike,standard,20.7,10.67,627.687595144155
3261,fedex,scooter,standard,150.7,48.58,3678.72694456042
3262,xpressbees,scooter,standard,81.7,11.9,2991.9112115254197
3263,amazon logistics,scooter,standard,266.7,45.86,4321.73588802555
3264,fedex,truck,express,135.7,32.06,83318.30532271902
3265,shadowfax,ev van,standard,43.9,6.95,2147.0404577145555
3266,xpressbees,ev van,express,200.1,43.87,98832.64493492043
3267,xpressbees,ev van,standard,80.0,5.42,7626.646542651021
3268,blue dart,ev bike,express,287.8,32.49,21295.357470358274
3269,ecom express,scooter,standard,11.5,17.76,1705.9133705843203
3270,blue dart,van,standard,40.2,10.5,8165.283269449787
3271,dhl,scooter,express,297.1,22.12,20139.768637158348
3272,shadowfax,bike,express,284.5,8.55,15118.77425955238
3273,dhl,ev bike,standard,19.2,45.81,1867.8172420638323
3274,ekart,truck,express,114.3,31.22,34058.12653288221
3275,ecom express,ev van,express,282.2,26.8,128636.82155520016
3276,delhivery,ev van,express,82.0,34.7,39287.29395162792
3277,ekart,truck,standard,258.0,44.81,19534.83594834966
3278,ecom express,bike,express,156.8,33.95,35434.80399323873
3279,xpressbees,van,express,242.5,47.56,165526.06859760778
3280,delhivery,van,express,199.4,14.51,82150.32051248835
3281,xpressbees,ev bike,standard,241.5,47.85,5940.894799542698
3282,ecom express,truck,express,104.0,34.33,181196.04159550663
3283,delhivery,ev bike,express,295.4,17.09,16195.365199067492
3284,dhl,bike,standard,119.3,31.21,5034.878306549603
3285,fedex,bike,standard,12.4,33.99,2175.7766191582486
3286,blue dart,ev van,standard,230.6,20.32,20307.827120159087
3287,blue dart,van,standard,66.1,27.37,17682.32068426265
3288,blue dart,ev bike,express,28.7,5.69,2263.112507837961
3289,blue dart,ev van,express,205.8,12.71,61850.69966882607
3290,dhl,bike,express,234.1,0.67,20205.628924485456
3291,fedex,ev bike,express,190.3,10.08,7018.0498459365635
3292,ekart,scooter,standard,74.3,47.34,1285.8695303547458
3293,ekart,bike,standard,63.7,15.17,854.6847038970151
3294,blue dart,scooter,standard,94.6,27.61,3874.634707155227
3295,amazon logistics,ev bike,express,206.7,29.72,7993.442490194294
3296,blue dart,bike,standard,18.7,35.53,3728.494300956275
3297,ecom express,ev bike,standard,258.5,22.51,6698.679841028746
3298,fedex,van,express,288.9,6.93,70986.65834822178
3299,amazon logistics,scooter,express,265.6,30.76,15572.272630177786
3300,shadowfax,scooter,express,127.6,32.16,8092.920976686306
3301,ekart,van,express,158.6,20.56,27365.379552641465
3302,shadowfax,van,express,154.7,49.52,59598.776992579915
3303,ekart,scooter,express,179.5,18.79,5705.427661372623
3304,blue dart,truck,standard,256.6,1.47,43670.96524484651
3305,ekart,ev van,express,259.8,7.68,18957.9759499727
3306,ekart,van,express,94.0,47.33,25123.907583369753
3307,blue dart,scooter,standard,34.2,37.35,2983.2640818230784
3308,delhivery,truck,express,167.2,42.04,159489.33386200355
3309,ecom express,ev bike,standard,12.5,48.2,3183.422008535988
3310,fedex,truck,express,203.6,35.24,106396.57599030358
3311,dhl,truck,express,214.2,8.63,113600.41407624296
3312,ecom express,ev bike,express,201.7,42.34,19885.478395371298
3313,ekart,ev van,express,78.3,10.27,8610.66577534034
3314,dhl,bike,standard,223.0,34.38,6827.296368456426
3315,amazon logistics,ev van,express,88.5,1.83,14081.151711889463
3316,shadowfax,ev van,express,127.9,17.13,22843.896835838976
3317,dhl,ev van,express,210.0,25.94,62079.986351656604
3318,ekart,van,express,93.8,34.98,23124.41094705771
3319,delhivery,ev van,express,266.2,42.67,96781.1362478178
3320,delhivery,bike,standard,98.5,3.14,2848.4697513774686
3321,blue dart,van,standard,258.2,41.04,45782.69713540279
3322,amazon logistics,ev van,express,282.1,37.45,49750.07336064799
3323,shadowfax,scooter,standard,113.0,40.82,2694.110719430122
3324,dhl,ev bike,express,16.4,26.39,3715.5117602197674
3325,amazon logistics,scooter,standard,76.9,29.38,1861.3919038250258
3326,blue dart,truck,express,231.3,5.81,144773.93092547017
3327,blue dart,truck,standard,29.5,40.94,24831.462362291084
3328,dhl,ev van,express,262.8,7.45,58650.4365049684
3329,ecom express,van,express,180.0,30.04,145126.93423708863
3330,shadowfax,ev bike,express,239.3,14.68,7099.46614699176
3331,amazon logistics,van,express,228.0,5.96,53448.07115480877
3332,ekart,van,express,226.2,11.64,32524.29993979789
3333,amazon logistics,bike,express,8.3,0.9,551.2158488497776
3334,delhivery,bike,standard,221.9,12.31,6161.051747111524
3335,ekart,ev bike,express,203.6,21.82,4236.403699673516
3336,fedex,bike,express,180.9,29.3,17663.160894985635
3337,delhivery,bike,standard,257.2,8.05,6870.697299737996
3338,amazon logistics,scooter,express,159.2,14.38,7965.875751711024
3339,amazon logistics,van,express,171.6,33.7,54940.94829983905
3340,fedex,bike,express,155.8,10.16,11945.379926660751
3341,ekart,truck,standard,223.6,16.13,14300.753247354121
3342,delhivery,ev bike,standard,279.2,28.16,4804.282293855534
3343,shadowfax,truck,express,180.2,23.91,81087.1022215651
3344,fedex,truck,standard,106.7,19.02,17323.784529434837
3345,xpressbees,ev van,standard,154.0,33.81,22190.088822908197
3346,shadowfax,ev van,standard,283.8,14.27,11419.897597410358
3347,blue dart,truck,express,55.8,19.59,75041.36663299745
3348,blue dart,bike,express,272.0,27.64,36808.72094238604
3349,amazon logistics,ev bike,express,249.7,21.11,7979.273346360782
3350,blue dart,ev bike,express,111.2,17.12,8898.20537347231
3351,ecom express,scooter,standard,263.4,47.91,10689.086984999842
3352,delhivery,bike,express,225.0,13.31,25765.121743813277
3353,xpressbees,bike,standard,284.6,17.14,12034.666523655993
3354,ecom express,scooter,standard,153.1,5.44,4404.880147637142
3355,dhl,ev bike,express,215.3,49.34,15345.440592311536
3356,delhivery,ev van,express,106.6,40.85,56090.85821380331
3357,amazon logistics,bike,express,115.4,10.35,7310.41984322349
3358,blue dart,van,express,54.9,10.13,37893.936378292005
3359,fedex,ev van,express,173.1,19.37,34806.22830242963
3360,ecom express,bike,standard,3.6,21.53,2640.617843142376
3361,xpressbees,ev van,express,275.7,20.48,93162.19700841048
3362,delhivery,bike,express,100.1,21.15,16153.237595732986
3363,amazon logistics,scooter,standard,187.1,16.5,2689.6166432423374
3364,blue dart,bike,standard,292.3,10.47,10545.339004689558
3365,xpressbees,ev bike,standard,126.1,13.63,2890.9124044892633
3366,shadowfax,van,express,22.4,14.89,14571.998828585649
3367,ekart,van,express,113.2,27.45,24269.026465755367
3368,dhl,truck,express,294.2,4.03,134510.78113010718
3369,blue dart,scooter,express,287.4,8.92,23933.660144588186
3370,ecom express,ev bike,express,205.0,27.42,19030.208267266575
3371,ekart,van,express,204.3,16.06,29269.87709731879
3372,ekart,ev bike,standard,145.5,28.99,958.5034626522302
3373,fedex,truck,express,151.9,41.9,107199.62035606899
3374,xpressbees,ev bike,standard,166.4,43.38,4763.019447169501
3375,fedex,ev van,express,119.5,6.29,22373.53254417389
3376,fedex,truck,standard,245.3,12.29,32268.984255804186
3377,shadowfax,scooter,express,272.6,35.49,13048.3580719001
3378,amazon logistics,ev bike,express,258.9,26.82,9449.177912060793
3379,dhl,ev bike,express,85.5,4.02,3615.0958867546474
3380,amazon logistics,van,express,61.1,45.08,39996.66547368245
3381,amazon logistics,van,standard,292.7,33.3,22667.04134098276
3382,ecom express,ev van,express,47.9,1.0,15835.63429834318
3383,ecom express,scooter,standard,112.6,13.6,4843.868753478765
3384,amazon logistics,bike,standard,16.0,49.07,2515.3868554367205
3385,ekart,truck,express,63.8,21.75,21997.571540556022
3386,xpressbees,bike,standard,128.8,11.12,5865.400760849007
3387,xpressbees,ev bike,standard,19.3,9.03,830.3378104086087
3388,ekart,ev van,standard,172.7,6.5,4058.888874579606
3389,xpressbees,ev bike,express,129.7,35.22,13101.467479661911
3390,ekart,scooter,express,129.8,35.71,5269.664715747082
3391,fedex,ev van,standard,229.0,35.45,15781.491904933626
3392,amazon logistics,bike,standard,119.2,45.28,3591.80884628678
3393,blue dart,bike,express,21.5,43.49,15049.471653616467
3394,dhl,scooter,express,205.3,3.27,11634.997993220275
3395,amazon logistics,truck,express,209.5,8.79,75817.37052306934
3396,fedex,ev bike,standard,154.6,7.19,1430.52017800013
3397,ecom express,scooter,standard,3.6,17.56,1561.235995310381
3398,delhivery,ev van,standard,284.7,18.27,21341.08036422122
3399,xpressbees,ev bike,express,91.9,42.57,14018.175175816825
3400,amazon logistics,scooter,express,92.5,25.59,6502.4602353962
3401,ecom express,bike,standard,56.3,35.22,6653.056241837083
3402,blue dart,ev bike,express,191.4,6.59,12018.469740049915
3403,ecom express,scooter,express,179.0,7.37,21311.243759443303
3404,dhl,scooter,express,266.7,4.04,15569.740578598645
3405,dhl,ev bike,express,188.0,8.64,8655.6805465724
3406,dhl,scooter,standard,82.2,12.55,2216.0976802389996
3407,shadowfax,van,standard,235.7,28.77,18456.855268497482
3408,shadowfax,ev van,express,87.6,33.06,23840.539395582364
3409,fedex,ev bike,express,268.9,37.47,11826.303947059043
3410,delhivery,truck,express,32.8,38.85,78925.52536165471
3411,ecom express,ev van,standard,127.9,9.76,15822.086322695319
3412,blue dart,ev bike,express,294.0,3.91,16141.949956171875
3413,delhivery,van,standard,227.0,20.56,32868.09039091406
3414,shadowfax,truck,express,104.0,47.46,77706.51842865944
3415,dhl,truck,express,223.8,24.9,136794.24207516204
3416,shadowfax,van,standard,5.5,39.96,6947.610308191925
3417,amazon logistics,ev van,standard,6.3,44.78,5017.508859193694
3418,delhivery,truck,express,122.1,27.5,110685.00435006338
3419,ekart,ev bike,standard,287.6,10.89,1425.1955485732183
3420,fedex,van,express,170.5,37.9,77007.0906409607
3421,amazon logistics,scooter,express,31.2,29.78,4584.035300390661
3422,shadowfax,bike,express,173.7,48.29,14815.632559406107
3423,dhl,ev bike,express,270.8,29.93,15697.172372921257
3424,shadowfax,truck,express,172.7,45.63,100656.78352930759
3425,ecom express,truck,standard,85.7,22.28,36416.26920342811
3426,fedex,bike,express,292.0,49.48,25448.833537282953
3427,amazon logistics,ev bike,standard,282.4,21.54,2898.049471583239
3428,amazon logistics,scooter,standard,141.9,11.2,2100.8446424750014
3429,ekart,truck,standard,251.4,26.03,17396.145368905287
3430,ekart,van,express,92.8,1.02,11114.54489923351
3431,xpressbees,scooter,express,67.0,36.63,15390.776388867023
3432,blue dart,bike,standard,136.0,36.27,7323.847330094716
3433,dhl,ev bike,standard,267.1,43.29,4417.9229677509
3434,ekart,bike,express,229.9,36.07,10602.519467552404
3435,shadowfax,bike,express,297.1,1.99,16416.815239670974
3436,ekart,scooter,express,236.6,44.46,8840.498831110941
3437,shadowfax,ev van,standard,236.0,26.79,11816.909807142876
3438,ecom express,ev bike,standard,254.0,30.53,6363.872388549395
3439,amazon logistics,ev bike,standard,14.2,20.83,611.9317623135559
3440,ecom express,scooter,express,214.4,21.37,29470.16828439048
3441,delhivery,ev van,standard,24.4,19.04,5676.121772908534
3442,fedex,bike,express,150.1,39.82,18379.504112299244
3443,blue dart,bike,standard,143.9,0.67,4769.652474164196
3444,ecom express,van,express,226.4,9.24,142446.13001624533
3445,xpressbees,van,express,282.1,37.47,184361.21674219889
3446,ekart,scooter,express,52.5,20.55,2593.3744432472026
3447,shadowfax,scooter,express,279.8,21.31,13686.822767312739
3448,shadowfax,scooter,express,213.2,31.17,12565.424010773582
3449,fedex,van,express,184.1,4.01,51396.29667279655
3450,fedex,truck,standard,222.0,34.55,33251.32115396024
3451,delhivery,van,express,66.5,38.77,65333.65078092967
3452,fedex,scooter,express,19.5,20.02,3631.7575137407725
3453,dhl,truck,express,65.1,34.84,80236.04765489222
3454,amazon logistics,truck,express,106.6,22.84,52199.51640847989
3455,amazon logistics,van,express,129.3,21.01,45282.42405992489
3456,xpressbees,bike,standard,37.0,1.39,1404.194884899973
3457,delhivery,ev van,express,227.1,49.1,79972.51333355243
3458,amazon logistics,truck,express,166.0,24.29,73154.97359629936
3459,dhl,scooter,express,198.7,43.67,20457.801742762647
3460,dhl,ev bike,standard,26.5,20.53,1079.3889482288625
3461,ecom express,van,standard,150.6,14.04,27218.444246387156
3462,amazon logistics,bike,express,262.5,37.94,19363.939358344614
3463,delhivery,ev bike,standard,258.2,38.54,4570.926608155857
3464,dhl,bike,express,210.7,44.97,29729.566505654286
3465,xpressbees,scooter,standard,182.2,38.25,6735.37054137718
3466,fedex,truck,standard,277.4,35.18,40381.70438045486
3467,ekart,ev bike,express,33.0,0.67,532.5026598958021
3468,fedex,ev van,express,13.1,8.6,6148.65134926311
3469,amazon logistics,ev bike,express,218.4,28.87,8978.72677919547
3470,ekart,scooter,express,106.8,28.79,4028.903605069805
3471,xpressbees,ev bike,standard,40.7,32.75,2181.698909950471
3472,xpressbees,ev bike,express,281.0,31.74,21790.193707278322
3473,amazon logistics,ev bike,express,7.0,5.63,666.0594723632148
3474,ekart,ev bike,express,237.1,47.33,5145.414031105497
3475,blue dart,ev bike,express,121.5,22.63,8978.529009212265
3476,fedex,truck,standard,114.7,36.76,25953.70253934661
3477,fedex,ev van,standard,124.4,37.17,10909.371791865688
3478,dhl,truck,standard,105.5,10.83,19288.692561804903
3479,amazon logistics,bike,standard,33.4,20.7,1609.2693867092983
3480,amazon logistics,scooter,express,213.2,2.91,9944.273746974273
3481,ekart,van,standard,155.6,1.58,5553.115936653714
3482,amazon logistics,van,standard,119.7,7.69,8337.626836943353
3483,ekart,ev bike,standard,160.4,6.01,713.7940443221643
3484,dhl,ev bike,express,144.3,35.92,10792.864615220346
3485,delhivery,bike,express,74.4,24.78,13763.781589148186
3486,dhl,van,express,47.4,19.55,35559.46287941769
3487,ecom express,truck,express,240.1,8.48,204029.07771759576
3488,dhl,ev van,standard,214.7,19.81,14294.968554696961
3489,xpressbees,truck,express,58.5,40.26,131634.69980361225
3490,delhivery,scooter,express,37.5,46.05,13260.851375262824
3491,shadowfax,scooter,express,165.4,19.58,8110.870743635696
3492,dhl,scooter,express,196.1,35.75,17586.68507041068
3493,xpressbees,van,standard,176.0,42.35,44382.75617985002
3494,ecom express,bike,standard,83.0,19.84,5639.40222898275
3495,fedex,ev bike,express,219.8,14.48,8103.2851727690895
3496,delhivery,bike,standard,64.3,18.58,2882.1084805674454
3497,fedex,bike,standard,154.2,20.97,3693.91746973646
3498,blue dart,bike,standard,57.9,36.21,5414.92268847334
3499,fedex,bike,express,105.7,14.15,10114.380452084866
3500,delhivery,truck,standard,150.2,7.56,28162.585393090492
3501,shadowfax,ev bike,express,172.2,28.46,6650.987708182516
3502,ekart,ev van,express,33.4,1.21,2638.3843587868123
3503,blue dart,ev bike,standard,107.7,24.31,2866.115634312355
3504,delhivery,ev bike,express,161.8,35.35,12464.490423299958
3505,amazon logistics,truck,standard,239.5,13.29,28661.230681572466
3506,amazon logistics,scooter,standard,78.3,0.98,1001.7670210576455
3507,amazon logistics,van,standard,237.3,44.32,25004.06665048238
3508,delhivery,ev van,express,289.4,18.39,76578.72754078009
3509,dhl,bike,standard,194.5,16.81,5118.553897091757
3510,ecom express,ev bike,standard,221.8,35.28,6536.499897195188
3511,shadowfax,ev bike,standard,240.8,8.67,1809.0598816482593
3512,blue dart,bike,standard,260.0,34.59,10053.827755098242
3513,blue dart,scooter,standard,30.2,30.7,2519.750166078744
3514,ekart,scooter,standard,95.4,10.82,822.5149245566612
3515,ecom express,ev van,standard,152.4,18.35,20467.409944490664
3516,blue dart,van,standard,101.2,45.47,31205.302517403397
3517,ecom express,ev bike,express,67.0,35.38,12685.818715673084
3518,xpressbees,truck,standard,274.5,41.62,77294.93684450921
3519,ecom express,bike,standard,231.2,21.27,12359.338674303866
3520,amazon logistics,ev bike,standard,67.8,31.75,1158.6878997069073
3521,ekart,truck,express,73.1,15.61,21150.579858942474
3522,amazon logistics,ev van,standard,190.1,21.93,9944.951771704917
3523,blue dart,ev van,standard,140.5,48.82,19948.816548949493
3524,ekart,truck,standard,93.0,32.56,9519.839142763896
3525,blue dart,ev van,standard,250.6,11.43,21708.187483023023
3526,blue dart,bike,standard,280.2,34.73,11481.545665648051
3527,delhivery,truck,standard,109.4,49.52,41177.394087061344
3528,blue dart,truck,standard,194.1,34.8,55275.81209085051
3529,blue dart,scooter,express,101.3,31.02,16348.93768370773
3530,dhl,truck,standard,286.5,31.24,54055.62923082852
3531,delhivery,ev bike,express,122.0,36.58,10336.79270132948
3532,delhivery,van,express,63.0,48.74,71056.75336080995
3533,ecom express,truck,express,120.2,0.67,90320.4288191264
3534,delhivery,ev bike,standard,96.2,7.77,1452.8430329999712
3535,delhivery,truck,express,153.3,34.3,130529.75548034896
3536,delhivery,van,express,28.9,3.03,15195.414250064556
3537,blue dart,scooter,express,185.8,39.73,23877.834035029813
3538,fedex,truck,express,232.4,13.3,102524.30763974685
3539,amazon logistics,ev van,express,79.7,38.76,25498.29824975542
3540,xpressbees,van,express,75.9,43.69,99422.07384444823
3541,shadowfax,truck,express,100.9,10.51,40427.612625227324
3542,delhivery,ev van,express,154.5,45.68,68685.49022855342
3543,xpressbees,scooter,standard,31.8,5.74,1263.4186913234232
3544,delhivery,ev bike,standard,166.2,13.31,2779.7625670572734
3545,shadowfax,scooter,standard,198.5,14.6,2597.1721163538964
3546,dhl,scooter,standard,293.7,18.19,5956.773414336483
3547,amazon logistics,scooter,standard,289.6,35.62,4224.8317710486945
3548,ekart,bike,express,96.0,9.52,4013.848019426652
3549,shadowfax,van,express,200.3,21.99,51440.836835654845
3550,dhl,van,standard,220.1,43.74,28930.31991433377
3551,fedex,scooter,express,249.8,2.0,11684.102397592278
3552,ecom express,ev bike,express,26.6,28.58,6974.273374720139
3553,xpressbees,truck,express,39.7,30.77,98820.99902963443
3554,dhl,scooter,express,90.2,14.25,8331.780928752787
3555,fedex,scooter,express,81.0,39.88,9702.683976995024
3556,xpressbees,ev bike,express,234.9,47.19,20816.30452334167
3557,dhl,scooter,standard,244.7,17.4,4957.1210913724035
3558,blue dart,van,standard,140.8,42.13,34771.83066360018
3559,fedex,bike,standard,143.2,12.28,3158.0602831669003
3560,delhivery,ev bike,standard,156.1,12.03,2614.5738784819155
3561,blue dart,van,express,10.5,27.83,40316.75739856027
3562,dhl,ev bike,express,119.8,26.67,7459.576109118949
3563,amazon logistics,van,express,28.4,45.49,32533.039416438074
3564,amazon logistics,ev bike,standard,40.8,22.68,899.6990546027804
3565,ekart,van,standard,205.8,28.39,8919.32029276396
3566,dhl,ev van,express,163.8,17.37,39686.281663832
3567,blue dart,ev bike,express,131.2,11.18,7974.012049927475
3568,xpressbees,van,standard,227.9,35.46,42869.56706392154
3569,ekart,van,express,174.7,3.32,23332.138152747837
3570,amazon logistics,truck,standard,79.5,43.11,19781.082081962
3571,amazon logistics,ev bike,standard,199.3,45.77,2526.892468627932
3572,xpressbees,ev bike,standard,86.9,26.5,2662.3938492040843
3573,ekart,bike,standard,34.2,4.01,383.3719279676313
3574,ecom express,scooter,express,286.7,16.88,32184.416082917825
3575,xpressbees,van,express,250.2,3.17,126916.60986083663
3576,shadowfax,truck,standard,164.7,11.74,18974.131822806386
3577,amazon logistics,bike,standard,29.6,32.62,2186.9006610102483
3578,amazon logistics,scooter,express,128.2,1.55,5738.8170655295535
3579,delhivery,van,standard,173.2,12.74,20513.886227681956
3580,amazon logistics,van,express,100.4,30.35,38506.468953055
3581,xpressbees,truck,standard,58.6,41.16,35816.61799067107
3582,blue dart,bike,standard,152.7,34.62,8295.977943609145
3583,ekart,ev bike,standard,266.2,30.67,1489.6013245744227
3584,xpressbees,scooter,standard,95.9,8.91,3068.4277146030504
3585,blue dart,truck,express,261.8,39.1,225782.30977790154
3586,fedex,ev van,express,114.6,13.74,25583.909414264785
3587,xpressbees,van,standard,85.1,37.79,24433.838583855362
3588,shadowfax,scooter,express,259.5,18.24,11251.611529802532
3589,ecom express,scooter,express,29.1,22.34,10005.624100959596
3590,blue dart,truck,express,229.5,44.78,245531.32782368906
3591,ekart,ev van,express,143.2,8.53,11475.001780708124
3592,ecom express,truck,express,24.7,30.43,97764.62950112735
3593,shadowfax,scooter,express,202.6,39.79,12833.333391967348
3594,ekart,ev van,express,111.7,11.7,11539.122195634885
3595,ekart,bike,standard,227.3,20.16,2449.9907511495917
3596,dhl,van,standard,154.8,15.5,19586.818806285526
3597,fedex,bike,standard,241.7,37.77,6047.543298793186
3598,ekart,bike,express,8.1,30.79,2814.5482464568563
3599,shadowfax,ev van,standard,146.1,24.22,8125.370802807683
3600,fedex,bike,standard,150.5,42.73,4736.842176871498
3601,shadowfax,ev van,standard,256.7,15.68,10296.599501583434
3602,blue dart,truck,express,257.6,10.55,181973.0007154565
3603,shadowfax,scooter,standard,144.5,39.26,3086.302946312048
3604,ecom express,ev van,express,83.5,16.4,45299.82416420553
3605,blue dart,bike,express,132.6,20.41,22124.534875646517
3606,ekart,ev bike,express,217.8,27.69,4552.182074168378
3607,xpressbees,ev bike,express,24.0,49.19,9493.010037631775
3608,shadowfax,van,express,293.2,17.48,69961.37464198469
3609,xpressbees,scooter,standard,191.7,31.92,7808.113635723277
3610,shadowfax,bike,standard,128.6,45.71,4066.6441876979325
3611,xpressbees,bike,express,178.6,14.01,25139.778673424516
3612,shadowfax,bike,standard,268.2,39.57,5853.000735282902
3613,delhivery,van,standard,121.3,36.93,23309.776535593355
3614,xpressbees,truck,express,68.7,38.86,138849.336801695
3615,fedex,van,express,200.7,40.69,84856.91557578139
3616,delhivery,ev bike,standard,17.4,22.26,1009.3374929788946
3617,dhl,van,standard,113.4,6.91,12667.297243684448
3618,dhl,ev bike,standard,63.3,25.97,1474.5321070219784
3619,delhivery,truck,express,225.8,9.17,129864.807433013
3620,ecom express,ev van,express,257.8,7.46,84944.17963987245
3621,ekart,ev bike,express,241.8,24.01,4406.941700765964
3622,ekart,bike,standard,31.6,13.51,626.1801047146629
3623,dhl,truck,standard,43.6,19.74,13494.98229397333
3624,amazon logistics,truck,express,279.1,9.83,105517.62065818637
3625,xpressbees,bike,standard,186.6,42.6,11175.227613162859
3626,xpressbees,bike,standard,83.0,36.49,5884.066613418546
3627,ekart,bike,standard,180.0,31.74,2116.155054799562
3628,amazon logistics,scooter,standard,219.1,5.27,2544.419612827357
3629,amazon logistics,ev van,express,202.3,15.89,34652.25237091182
3630,fedex,scooter,express,110.8,31.59,10444.295080509099
3631,fedex,scooter,express,185.9,10.28,10476.472016321935
3632,delhivery,van,standard,27.3,41.83,15926.525118176618
3633,xpressbees,van,express,274.4,43.79,174188.5731450701
3634,ecom express,ev van,standard,240.4,28.01,32471.368857764915
3635,fedex,bike,express,264.5,6.79,16572.66165536625
3636,fedex,ev van,express,78.9,11.13,15921.04871214637
3637,fedex,scooter,express,72.0,1.23,3522.0120805747033
3638,delhivery,scooter,standard,168.8,14.42,4161.872454494519
3639,shadowfax,van,express,113.2,40.57,47829.84078617399
3640,xpressbees,ev van,express,60.2,15.21,32071.29685416054
3641,ecom express,scooter,express,239.4,40.75,38399.219680886454
3642,ecom express,van,express,26.6,43.08,80842.01056725463
3643,fedex,truck,express,8.9,42.85,47670.0693399285
3644,ecom express,ev bike,standard,248.8,41.61,7839.393324786667
3645,fedex,van,standard,66.2,9.93,7349.460886144311
3646,shadowfax,bike,express,263.1,30.74,18784.6331120365
3647,shadowfax,ev bike,standard,167.8,21.35,1559.3157140776818
3648,ecom express,ev van,standard,181.3,11.38,22507.319182675186
3649,xpressbees,truck,express,7.2,46.01,95323.72048023508
3650,blue dart,ev van,express,133.0,48.2,67807.6488380326
3651,delhivery,scooter,standard,274.3,18.94,6592.5614417387305
3652,dhl,ev van,express,223.8,42.09,75478.36165186603
3653,fedex,ev bike,standard,78.0,49.52,2186.8471996017083
3654,xpressbees,ev van,standard,13.2,47.37,12308.15816338207
3655,fedex,ev van,express,43.5,13.09,12564.219580691544
3656,fedex,van,standard,238.5,1.32,17134.548827533923
3657,ecom express,bike,express,148.7,9.59,23200.47604433858
3658,dhl,ev bike,standard,146.6,8.94,2067.1914460016087
3659,fedex,ev bike,standard,257.7,13.57,2696.6536539364547
3660,shadowfax,truck,standard,137.2,18.92,17311.790868214473
